	Year	Mo	Day	HH	MM	Tair	RH	Wind	Rad	Pressure	Prec	When	DoY
0	2014	1	1	10	20	-9.5	82.4	0.7	344.0	825.7	0.0	2014-01-01 10:00:00	1
1	2014	1	1	11	0	-9.5	82.4	0.7	344.0	825.7	0.0	2014-01-01 11:00:00	1
2	2014	1	1	12	0	-7.3	78.1	0.6	312.0	825.1	0.0	2014-01-01 12:00:00	1
3	2014	1	1	13	0	-6.5	77.7	0.9	242.0	824.7	0.0	2014-01-01 13:00:00	1
4	2014	1	1	14	0	-5.6	79.1	1.4	162.0	824.8	0.0	2014-01-01 14:00:00	1
5	2014	1	1	15	0	-7.3	83.8	1.4	39.0	825.1	0.0	2014-01-01 15:00:00	1
6	2014	1	1	16	0	-8.9	85.7	1.2	0.0	825.4	0.0	2014-01-01 16:00:00	1
7	2014	1	1	17	0	-10.4	85.2	1.8	0.0	825.6	0.0	2014-01-01 17:00:00	1
8	2014	1	1	18	0	-12.1	87.5	1.0	0.0	825.6	0.0	2014-01-01 18:00:00	1
9	2014	1	1	19	0	-11.7	86.4	1.1	0.0	825.6	0.0	2014-01-01 19:00:00	1
10	2014	1	1	20	0	-12.6	87.0	0.8	0.0	825.6	0.0	2014-01-01 20:00:00	1
11	2014	1	1	21	0	-12.6	86.3	1.4	0.0	825.3	0.0	2014-01-01 21:00:00	1
12	2014	1	1	22	0	-11.0	81.1	1.8	0.0	824.9	0.0	2014-01-01 22:00:00	1
13	2014	1	1	23	0	-8.9	72.1	1.8	0.0	824.7	0.0	2014-01-01 23:00:00	1
14	2014	1	2	0	0	-9.6	76.4	1.4	0.0	824.3	0.0	2014-01-02 00:00:00	2
15	2014	1	2	1	0	-9.5	80.6	1.7	0.0	824.0	0.0	2014-01-02 01:00:00	2
16	2014	1	2	2	0	-8.3	81.1	2.3	0.0	823.7	0.0	2014-01-02 02:00:00	2
17	2014	1	2	3	0	-7.6	80.4	2.0	0.0	823.0	0.0	2014-01-02 03:00:00	2
18	2014	1	2	4	0	-7.8	84.1	0.7	0.0	822.4	0.0	2014-01-02 04:00:00	2
19	2014	1	2	5	0	-6.9	86.4	1.1	0.0	822.1	0.0	2014-01-02 05:00:00	2
20	2014	1	2	6	0	-6.2	88.9	1.1	0.0	821.9	0.0	2014-01-02 06:00:00	2
21	2014	1	2	7	0	-4.8	91.0	1.3	8.0	821.9	0.5	2014-01-02 07:00:00	2
22	2014	1	2	8	0	-3.8	93.0	1.1	33.0	822.1	0.4	2014-01-02 08:00:00	2
23	2014	1	2	9	0	-2.4	90.1	2.0	77.0	822.2	0.2	2014-01-02 09:00:00	2
24	2014	1	2	10	0	-1.8	89.7	1.5	111.0	822.0	0.1	2014-01-02 10:00:00	2
25	2014	1	2	11	0	-1.1	87.3	2.6	127.0	821.5	0.1	2014-01-02 11:00:00	2
26	2014	1	2	12	0	-0.9	86.8	3.3	156.0	821.1	0.1	2014-01-02 12:00:00	2
27	2014	1	2	13	0	-0.9	85.8	3.2	95.0	821.1	0.0	2014-01-02 13:00:00	2
28	2014	1	2	14	0	-1.3	87.5	3.7	53.0	822.0	0.3	2014-01-02 14:00:00	2
29	2014	1	2	15	0	-1.5	85.6	1.8	29.0	821.9	0.0	2014-01-02 15:00:00	2
30	2014	1	2	16	0	-3.2	91.4	1.1	0.0	822.2	0.0	2014-01-02 16:00:00	2
31	2014	1	2	17	0	-4.8	92.7	1.3	0.0	822.6	0.0	2014-01-02 17:00:00	2
32	2014	1	2	18	0	-6.9	98.5	0.6	0.0	823.2	0.0	2014-01-02 18:00:00	2
33	2014	1	2	19	0	-7.4	97.1	0.9	0.0	823.8	0.0	2014-01-02 19:00:00	2
34	2014	1	2	20	0	-8.2	95.1	0.7	0.0	824.4	0.0	2014-01-02 20:00:00	2
35	2014	1	2	21	0	-6.9	91.8	1.1	0.0	824.8	0.0	2014-01-02 21:00:00	2
36	2014	1	2	22	0	-6.5	92.1	0.3	0.0	825.1	0.0	2014-01-02 22:00:00	2
37	2014	1	2	23	0	-6.1	90.2	0.4	0.0	825.2	0.0	2014-01-02 23:00:00	2
38	2014	1	3	0	0	-6.6	91.6	0.2	0.0	825.2	0.0	2014-01-03 00:00:00	3
39	2014	1	3	1	0	-7.1	91.6	0.5	0.0	825.4	0.0	2014-01-03 01:00:00	3
40	2014	1	3	2	0	-6.9	91.8	1.8	0.0	826.0	0.0	2014-01-03 02:00:00	3
41	2014	1	3	3	0	-8.8	89.5	1.5	0.0	826.1	0.0	2014-01-03 03:00:00	3
42	2014	1	3	4	0	-10.4	85.2	0.9	0.0	826.3	0.0	2014-01-03 04:00:00	3
43	2014	1	3	5	0	-11.0	94.9	0.8	0.0	826.4	0.0	2014-01-03 05:00:00	3
44	2014	1	3	6	0	-12.2	89.2	0.7	0.0	826.7	0.0	2014-01-03 06:00:00	3
45	2014	1	3	7	0	-13.4	88.6	0.7	7.0	826.9	0.0	2014-01-03 07:00:00	3
46	2014	1	3	8	0	-13.2	88.0	0.9	80.0	827.1	0.0	2014-01-03 08:00:00	3
47	2014	1	3	9	0	-10.3	85.1	0.8	222.0	827.1	0.0	2014-01-03 09:00:00	3
48	2014	1	3	10	0	-9.2	86.5	0.6	229.0	827.3	0.0	2014-01-03 10:00:00	3
49	2014	1	3	11	0	-5.8	81.0	1.0	214.0	827.6	0.0	2014-01-03 11:00:00	3
