MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

stn;date;time;tre200b0;tre200bn;tre200bx;ure200b0;rre150b0;sre000b0;gre000b0;dkl010b0;fu3010b0;fu3010b1;prestab0
SAM;01/01/2017;00:00;-12.8;-14.2;-11.7;76.6;0.0;0.0;0.0;200.0;4.0;6.8;835.7
SAM;01/01/2017;01:00;-12.2;-13.3;-11.5;75.7;0.0;0.0;0.0;197.0;3.6;7.9;835.2
SAM;01/01/2017;02:00;-13.0;-14.9;-12.0;76.8;0.0;0.0;0.0;210.0;3.2;8.3;834.7
SAM;01/01/2017;03:00;-13.2;-14.0;-11.8;79.1;0.0;0.0;0.0;217.0;2.2;6.5;834.1
SAM;01/01/2017;04:00;-13.3;-14.8;-12.7;78.7;0.0;0.0;0.0;207.0;4.0;6.8;833.7
SAM;01/01/2017;05:00;-13.4;-14.0;-12.0;78.7;0.0;0.0;0.0;203.0;4.7;8.6;833.2
SAM;01/01/2017;06:00;-14.2;-16.4;-12.6;80.5;0.0;0.0;0.0;207.0;4.0;7.9;832.7
SAM;01/01/2017;07:00;-13.8;-14.4;-12.7;79.3;0.0;0.0;0.0;201.0;3.2;6.8;832.4
SAM;01/01/2017;08:00;-13.6;-14.9;-12.6;79.5;0.0;0.0;10.0;204.0;3.6;6.1;832.3
SAM;01/01/2017;09:00;-12.1;-13.9;-9.7;79.4;0.0;26.0;103.0;180.0;1.8;4.7;832.2
SAM;01/01/2017;10:00;-7.3;-10.4;-4.8;70.8;0.0;60.0;290.0;153.0;1.4;3.2;831.8
SAM;01/01/2017;11:00;-2.5;-4.3;-0.9;56.1;0.0;60.0;364.0;153.0;1.1;4.7;831.0
SAM;01/01/2017;12:00;0.7;-0.4;1.7;39.7;0.0;60.0;386.0;360.0;1.4;5.4;830.0
SAM;01/01/2017;13:00;3.4;2.5;4.3;28.5;0.0;60.0;350.0;236.0;2.9;7.2;829.2
SAM;01/01/2017;14:00;4.7;4.4;5.0;26.6;0.0;60.0;263.0;196.0;5.8;11.9;828.6
SAM;01/01/2017;15:00;2.3;-0.1;4.3;32.6;0.0;60.0;140.0;196.0;11.2;13.7;828.7
SAM;01/01/2017;16:00;-2.6;-3.4;-1.5;42.3;0.0;5.0;9.0;201.0;5.4;15.5;828.7
SAM;01/01/2017;17:00;-5.4;-6.5;-2.6;50.6;0.0;0.0;0.0;203.0;2.9;8.3;828.8
SAM;01/01/2017;18:00;-7.3;-8.3;-6.7;58.8;0.0;0.0;0.0;207.0;5.8;9.4;829.1
SAM;01/01/2017;19:00;-8.9;-10.1;-7.8;63.3;0.0;0.0;0.0;215.0;4.3;9.0;829.2
SAM;01/01/2017;20:00;-9.2;-10.5;-8.0;64.4;0.0;0.0;0.0;204.0;4.3;8.3;829.3
