11:36:36   22.01.2015              Programm Climap                 MeteoSchweiz
Zeitangaben in UTC 0040 (UTC)  =  01:40 Uhr Winterzeit  =  02:40 Uhr Sommerzeit
Auswahlperiode: 01.01.2014 10:20  -  22.01.2015 10:20 UTC 32767 -> Keine Angabe
Anzahl Stationen  1
    29	Samedan                 1709 m.ü.M.	787149/ 155701
Anzahl Parameter  6
   261  Lufttemperatur 2 m über Boden; Stundenmittel  [°C]
   266  Relative Luftfeuchtigkeit 2 m über Boden; Stundenmittel  [%]
   283  Windgeschwindigkeit skalar; Stundenmittel  [m/s]
   269  Globalstrahlung; Stundenmittel  [W/m²]
   306  Luftdruck auf Stationshöhe (QFE); Stundenmittel  [hPa]
   267  Niederschlag; Stundensumme  [mm]

  STA JAHR MO TG HH MM   261   266   283   269   306   267
   29 2014  1  1 10 20 32767 32767 32767 32767 32767 32767 
   29 2014  1  1 11  0  -9.5  82.4   0.7   344 825.7   0.0 
   29 2014  1  1 12  0  -7.3  78.1   0.6   312 825.1   0.0 
   29 2014  1  1 13  0  -6.5  77.7   0.9   242 824.7   0.0 
   29 2014  1  1 14  0  -5.6  79.1   1.4   162 824.8   0.0 
   29 2014  1  1 15  0  -7.3  83.8   1.4    39 825.1   0.0 
   29 2014  1  1 16  0  -8.9  85.7   1.2     0 825.4   0.0 
   29 2014  1  1 17  0 -10.4  85.2   1.8     0 825.6   0.0 
   29 2014  1  1 18  0 -12.1  87.5   1.0     0 825.6   0.0 
   29 2014  1  1 19  0 -11.7  86.4   1.1     0 825.6   0.0 
   29 2014  1  1 20  0 -12.6  87.0   0.8     0 825.6   0.0 
   29 2014  1  1 21  0 -12.6  86.3   1.4     0 825.3   0.0 
   29 2014  1  1 22  0 -11.0  81.1   1.8     0 824.9   0.0 
   29 2014  1  1 23  0  -8.9  72.1   1.8     0 824.7   0.0 
   29 2014  1  2  0  0  -9.6  76.4   1.4     0 824.3   0.0 
   29 2014  1  2  1  0  -9.5  80.6   1.7     0 824.0   0.0 
   29 2014  1  2  2  0  -8.3  81.1   2.3     0 823.7   0.0 
   29 2014  1  2  3  0  -7.6  80.4   2.0     0 823.0   0.0 
   29 2014  1  2  4  0  -7.8  84.1   0.7     0 822.4   0.0 
   29 2014  1  2  5  0  -6.9  86.4   1.1     0 822.1   0.0 
   29 2014  1  2  6  0  -6.2  88.9   1.1     0 821.9   0.0 
   29 2014  1  2  7  0  -4.8  91.0   1.3     8 821.9   0.5 
   29 2014  1  2  8  0  -3.8  93.0   1.1    33 822.1   0.4 
   29 2014  1  2  9  0  -2.4  90.1   2.0    77 822.2   0.2 
   29 2014  1  2 10  0  -1.8  89.7   1.5   111 822.0   0.1 
   29 2014  1  2 11  0  -1.1  87.3   2.6   127 821.5   0.1 
   29 2014  1  2 12  0  -0.9  86.8   3.3   156 821.1   0.1 
   29 2014  1  2 13  0  -0.9  85.8   3.2    95 821.1   0.0 
   29 2014  1  2 14  0  -1.3  87.5   3.7    53 822.0   0.3 
   29 2014  1  2 15  0  -1.5  85.6   1.8    29 821.9   0.0 
   29 2014  1  2 16  0  -3.2  91.4   1.1     0 822.2   0.0 
   29 2014  1  2 17  0  -4.8  92.7   1.3     0 822.6   0.0 
   29 2014  1  2 18  0  -6.9  98.5   0.6     0 823.2   0.0 
   29 2014  1  2 19  0  -7.4  97.1   0.9     0 823.8   0.0 
   29 2014  1  2 20  0  -8.2  95.1   0.7     0 824.4   0.0 
   29 2014  1  2 21  0  -6.9  91.8   1.1     0 824.8   0.0 
   29 2014  1  2 22  0  -6.5  92.1   0.3     0 825.1   0.0 
   29 2014  1  2 23  0  -6.1  90.2   0.4     0 825.2   0.0 
   29 2014  1  3  0  0  -6.6  91.6   0.2     0 825.2   0.0 
   29 2014  1  3  1  0  -7.1  91.6   0.5     0 825.4   0.0 
   29 2014  1  3  2  0  -6.9  91.8   1.8     0 826.0   0.0 
   29 2014  1  3  3  0  -8.8  89.5   1.5     0 826.1   0.0 
   29 2014  1  3  4  0 -10.4  85.2   0.9     0 826.3   0.0 
   29 2014  1  3  5  0 -11.0  94.9   0.8     0 826.4   0.0 
   29 2014  1  3  6  0 -12.2  89.2   0.7     0 826.7   0.0 
   29 2014  1  3  7  0 -13.4  88.6   0.7     7 826.9   0.0 
   29 2014  1  3  8  0 -13.2  88.0   0.9    80 827.1   0.0 
   29 2014  1  3  9  0 -10.3  85.1   0.8   222 827.1   0.0 
   29 2014  1  3 10  0  -9.2  86.5   0.6   229 827.3   0.0 
   29 2014  1  3 11  0  -5.8  81.0   1.0   214 827.6   0.0 
   29 2014  1  3 12  0  -2.1  75.7   0.8   225 827.3   0.0 
   29 2014  1  3 13  0  -0.2  78.2   2.2   250 827.3   0.0 
   29 2014  1  3 14  0  -0.2  79.7   2.3   160 827.2   0.0 
   29 2014  1  3 15  0  -1.0  81.0   2.2    36 827.6   0.0 
   29 2014  1  3 16  0  -5.0  85.9   1.8     0 827.9   0.0 
   29 2014  1  3 17  0  -6.4  92.9   0.7     0 828.2   0.0 
   29 2014  1  3 18  0  -8.1  90.9   1.3     0 828.7   0.0 
   29 2014  1  3 19  0  -9.2  91.6   1.0     0 828.9   0.0 
   29 2014  1  3 20  0  -7.8  88.1   1.3     0 829.5   0.0 
   29 2014  1  3 21  0  -7.1  88.9   0.8     0 829.6   0.0 
   29 2014  1  3 22  0  -6.5  88.0   0.6     0 829.6   0.0 
   29 2014  1  3 23  0  -6.0  88.9   0.7     0 829.2   0.0 
   29 2014  1  4  0  0  -5.7  89.3   0.8     0 828.7   0.0 
   29 2014  1  4  1  0  -5.2  89.1   0.9     0 828.7   0.0 
   29 2014  1  4  2  0  -4.8  90.1   1.0     0 828.5   0.0 
   29 2014  1  4  3  0  -4.6  91.5   0.7     0 827.8   0.0 
   29 2014  1  4  4  0  -4.5  92.4   0.8     0 827.2   0.0 
   29 2014  1  4  5  0  -4.4  92.7   0.8     0 826.7   0.1 
   29 2014  1  4  6  0  -4.2  94.0   0.5     0 825.9   0.3 
   29 2014  1  4  7  0  -4.1  94.6   0.4     4 825.1   0.5 
   29 2014  1  4  8  0  -3.9  94.5   0.3    25 824.3   0.7 
   29 2014  1  4  9  0  -3.4  94.6   0.4    49 823.6   1.4 
   29 2014  1  4 10  0  -2.8  95.3   0.6    65 822.6   1.7 
   29 2014  1  4 11  0  -1.1  93.3   1.1    94 821.5   0.6 
   29 2014  1  4 12  0   0.5  90.1   2.5    73 820.0   0.5 
   29 2014  1  4 13  0   1.1  91.8   2.6    38 818.7   1.0 
   29 2014  1  4 14  0   1.3  92.9   3.3    16 818.1   1.7 
   29 2014  1  4 15  0   1.0  93.8   2.6     1 817.5   2.3 
   29 2014  1  4 16  0   0.5  96.9   1.5     0 816.7   2.8 
   29 2014  1  4 17  0   0.4  97.2   1.1     0 815.9   2.4 
   29 2014  1  4 18  0   0.6  95.7   3.1     0 816.1   3.3 
   29 2014  1  4 19  0   0.6  91.9   3.7     0 816.6   0.3 
   29 2014  1  4 20  0   0.9  90.2   3.1     0 816.4   0.0 
